"Sign Up for Our Newsletter:", "Your email &hellip;"
"Registered Customers", "Welcome Back,"
"If you have an account, sign in with your email address.", "Please login to your account."
"You can create an account after checkout.", "Don't worry if you don't have an account with us. Just type in your email above. You can create an account after checkout."
"Cart Subtotal", "Subtotal"
"Regular Price", "Was"
"Special Price", "Now"
"Sign In", "Login"
"Create an Account", "Sign Up"
"Forgot Your Password?", "Forgot Password?"
"Reset My Password", "Send me reset link"
"You aren't subscribed to our newsletter.", "Subscribe to get all the latest news and offers!"
"My Requisition Lists","My Saved Products Lists"
"The SKU was not found in the catalog.","The Product code was not found in the catalog."
"We can't update your requisition list right now.","We can't update your saved products list right now."
"We can't add the item to the Requisition List right now: %1.","We can't add the item to the Saved Products right now: %1."
"We can't specify a requisition list.","We couldn't find the requested saved products list."
"We couldn't find the requested requisition list.","We couldn't find the requested saved products list"
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","%1 has been added to the ""<a href=""%2"">%3</a>"" saved products list."
"You must choose options for your item.","You must choose options for your item."
"We can't specify a product.","We couldn't find the product you requested to add to your saved products list"
"We couldn't find the product you requested to add to your requisition list.","We couldn't find the product you requested to add to your saved products list."
"Invalid request, missing parameter list_id","Invalid request, missing parameter list_id"
"Product with requested SKU could not be found.","Product with requested Product code could not be found."
"You added %1 item(s) to your shopping cart.","You added %1 item(s) to your shopping basket."
"Something went wrong.","Something went wrong."
"We can't configure the product right now.","We can't configure the product right now."
"%1 item(s) were copied to %2","%1 item(s) were copied to %2"
"%1 item(s) were added to the ""%2""","%1 item(s) were added to the ""%2"""
"%1 item(s) were moved to %2","%1 item(s) were moved to %2"
"Requisition Lists","Saved Products"
"Requisition List","Saved Product"
"Invalid item option format.","Invalid item option format."
"An item option with code %1 already exists.","An item option with code %1 already exists."
"Could not save Requisition List","Could not save Product List"
"Cannot delete Requisition List with id %1","Cannot delete Saved Product List with id %1"
"Cannot specify product.","Cannot specify product."
"%1 has been updated in your requisition list.","%1 has been updated in your saved products list."
"Product %1 has been added to the requisition list %2.","Product %1 has been added to the saved products list %2."
"%1 has been added to the","%1 has been added to the"
"requisition list.","saved products list."
"Options were updated. Please review available configurations.","Options were updated. Please review available configurations."
"The SKU is out of stock.","The Product code is out of stock."
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","Could not save list. Maximum number of saved product lists was exceeded."
Exception,Exception
exception,exception
"No such entity","No such entity"
"Could not save","Could not save"
"Exception Message","Exception Message"
View,View
"All the items in your Shopping Cart have been added to the ""%1"" requisition list.","All the items in your shopping basket have been added to the ""%1"" saved product list."
"All items in your Shopping Cart could not be added to the ""%1"" requisition list.","All items in your shopping basket could not be added to the ""%1"" saved product list."
"Add Shopping Cart to Requisition List","Add basket to saved product list"
"Add item to requisition list","Add item to saved products list"
"Add items to requisition list","Add items to saved products list"
"Add item","Add item"
"Add items","Add items"
"The quantity of the item will be updated","The quantity of the item will be updated"
"Quantities for identical items will be combined.","Quantities for identical items will be combined."
"Some items in your Shopping Cart are already in the %1 requisition list.","Some items in your Shopping basket are already in the %1 saved product list."
"The item %1 is already in the %2 requisition list.","The item %1 is already in the %2 saved product list."
"Add to Requisition List","Add to saved product list"
"Update Requisition List","Update saved product list"
"Create Requisition List","Create saved products list"
"Create New Requisition List","Create new saved product list"
Print,Print
Rename,Rename list
"Rename Requisition List","Rename saved product list"
items,items
item,item
"in requisition list","in saved product list"
"Contact Us","Contact Us"
"Add To Cart","Add to basket"
"Add to Cart","Add to basket"
"Add to cart","Add to basket"
"View and Edit Cart","View and edit basket"
"Edit Cart Price Rules","Edit basket price rules"
"Item in Cart","Item in basket"
"Items in Cart","Items in basket"
